Index;Quantité;Référence;Référence fabricant;Description;Référence client;Disponible;Articles différés;Prix unitaire;Prix calculé EUR
1;2;399-C0805C104K5RACTUCT-ND;C0805C104K5RACTU;CAP CER 0.1UF 50V X7R 0805;;2;0;0,07;0,14
2;3;399-C0805C105K3RACTUCT-ND;C0805C105K3RACTU;CAP CER 1UF 25V X7R 0805;;3;0;0,1;0,30
3;1;399-C0805C474K5RACTUCT-ND;C0805C474K5RACTU;CAP CER 0.47UF 50V X7R 0805;;1;0;0,23;0,23
4;1;732-4984-1-ND;150080RS75000;LED RED CLEAR 0805 SMD;;1;0;0,16;0,16
5;1;MCP6021-I/SN-ND;MCP6021-I/SN;IC OPAMP GP 1 CIRCUIT 8SOIC;;1;0;1,19;1,19
6;1;311-1.0KARCT-ND;RC0805JR-071KL;RES 1K OHM 5% 1/8W 0805;;1;0;0,1;0,10
7;1;311-10KARCT-ND;RC0805JR-0710KL;RES 10K OHM 5% 1/8W 0805;;1;0;0,09;0,09
8;1;311-1.0MARCT-ND;RC0805JR-071ML;RES 1M OHM 5% 1/8W 0805;;1;0;0,09;0,09
9;1;311-18KARCT-ND;RC0805JR-0718KL;RES 18K OHM 5% 1/8W 0805;;1;0;0,09;0,09
10;10;311-100KARCT-ND;RC0805JR-07100KL;RES 100K OHM 5% 1/8W 0805;;10;0;0,009;0,09
11;1;497-IMP23ABSUCT-ND;IMP23ABSUTR;MIC MEMS ANALOG OMNI -38DB;;1;0;2,22;2,22
12;1;455-B3B-PH-SM4-TBCT-ND;B3B-PH-SM4-TB;CONN HEADER SMD 3POS 2MM;;1;0;0,45;0,45
13;1;455-1126-ND;PHR-3;CONN RCPT HSG 3POS 2.00MM;;1;0;0,09;0,09
14;3;455-1126-ND;PHR-3;CONN RCPT HSG 3POS 2.00MM;;3;0;0,09;0,27
