"","Sourced","Placed","References","Value","Footprint","Quantity"
1,"","","C4, C11, C12, C13, C16, C23, C24, C25","1nF","C_0805_2012Metric",8
2,"","","C5, C10, C17, C22","1.5nF","C_0805_2012Metric",4
3,"","","C2, C6, C18","1µF","C_0805_2012Metric",3
4,"","","C3, C14, C26","100nF","C_0805_2012Metric",3
5,"","","C7, C19","100pF","C_0805_2012Metric",2
6,"","","C8, C20","180pF","C_0805_2012Metric",2
7,"","","C9, C21","15nF","C_0805_2012Metric",2
8,"","","C15, C27","470pF","C_0805_2012Metric",2
9,"","","C1","10µF","C_0805_2012Metric",1
10,"","","R1, R2, R3, R4, R11, R12, R20, R24, R26, R27, R28, R29, R36, R37, R43, R48, RV1, RV2","100k","R_0805_2012Metric, JST_XH_B3B-XH-AM_1x03_P2.50mm_Vertical",18
11,"","","R17, R21, R23, R41, R46, R47","10k","R_0805_2012Metric",6
12,"","","R5, R6, R30, R31","3.9k","R_0805_2012Metric",4
13,"","","R8, R10, R33, R35","15k","R_0805_2012Metric",4
14,"","","R14, R18, R39, R44","82k","R_0805_2012Metric",4
15,"","","R15, R19, R40, R45","33k","R_0805_2012Metric",4
16,"","","R16, R25, R42, R50",100,"R_0805_2012Metric",4
17,"","","R7, R32",560,"R_0805_2012Metric",2
18,"","","R9, R34","1.2k","R_0805_2012Metric",2
19,"","","R13, R38","5.6k","R_0805_2012Metric",2
20,"","","R22, R49","1k","R_0805_2012Metric",2
21,"","","U1, U4","MCP6L02x-xMS","SOIC-8_3.9x4.9mm_P1.27mm",2
22,"","","U2, U5","MCP6L04x-xSL","SOIC-14_3.9x8.7mm_P1.27mm",2
23,"","","U3, U6","MCP6L91RT-ESN","SOIC-8_3.9x4.9mm_P1.27mm",2
24,"","","A1","Arduino_UNO_R3","Arduino_UNO_R3",1
25,"","","J1, J3, J9, J10","Conn_01x03_Socket","JST_XH_B3B-XH-AM_1x03_P2.50mm_Vertical, PinHeader_1x03_P2.54mm_Vertical",4
26,"","","J4, J5, J13","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical, PinSocket_1x02_P2.54mm_Vertical",3
27,"","","J6, J14","Conn_02x03_Top_Bottom","PinHeader_2x03_P2.54mm_Vertical",2
28,"","","J7, J8","Conn_01x01_Pin","PinHeader_1x01_P2.54mm_Vertical",2
29,"","","J2","Conn_01x02_Socket","PinHeader_1x02_P2.54mm_Vertical",1
30,"","","J11","Conn_01x08_Socket","PinHeader_1x08_P2.54mm_Vertical",1
31,"","","J12","Conn_01x06_Socket","PinHeader_1x06_P2.54mm_Vertical",1
