"Reference","Value","Qty","DNP","Manufacturer Part Number","MF","MP","Footprint"
"A1","Arduino_UNO_R3","1","","","","","Module:Arduino_UNO_R3"
"C1","10µF","1","","C0805C106K8PACTU","KEMET","C0805C106K8PACTU","Capacitor_SMD:C_0805_2012Metric"
"C2,C6,C18","1µF","3","","C0805C105K3RAC7800","KEMET","C0805C105K3RAC7800","Capacitor_SMD:C_0805_2012Metric"
"C3,C14,C26","100nF","3","","C0805C104M5RAC7800","KEMET","C0805C104M5RAC7800","Capacitor_SMD:C_0805_2012Metric"
"C4,C11,C12,C13,C16,C23,C24,C25","1nF","8","","C0805C102K1HAC7800","KEMET","C0805C102K1HAC7800","Capacitor_SMD:C_0805_2012Metric"
"C5,C10,C17,C22","1.5nF","4","","C0805C152K3HAC7800","KEMET","C0805C152K3HAC7800","Capacitor_SMD:C_0805_2012Metric"
"C7,C19","100pF","2","","C0805C101J5GAC7800","KEMET","C0805C101J5GAC7800","Capacitor_SMD:C_0805_2012Metric"
"C8,C20","180pF","2","","C0805C181K5GAC7800","KEMET","C0805C181K5GAC7800","Capacitor_SMD:C_0805_2012Metric"
"C9,C21","15nF","2","","C0805C153K5RAC7800","KEMET","C0805C153K5RAC7800","Capacitor_SMD:C_0805_2012Metric"
"C15,C27","470pF","2","","C0805C471K5RAC7800","KEMET","C0805C471K5RAC7800","Capacitor_SMD:C_0805_2012Metric"
"J1,J3,J9,J10","Conn_01x03_Socket","4","","B3B-XH-A,PH1-03-UA","Adam,JST","B3B-XH-A,PH1-03-UA","Connector_JST:JST_XH_B3B-XH-AM_1x03_P2.50mm_Vertical,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical"
"J2","Conn_01x02_Socket","1","","PH1-02-UA","Adam","PH1-02-UA","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical"
"J4,J5,J13","Conn_01x02_Pin","3","","PH1-02-UA","Adam","PH1-02-UA","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical"
"J6,J14","Conn_02x03_Top_Bottom","2","","PH2-06-UA","Adam","PH2-06-UA","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical"
"J7,J8","Conn_01x01_Pin","2","","PH1-01-UA","Adam","PH1-01-UA","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical"
"J11","Conn_01x08_Socket","1","","PH1-08-UA","Adam","PH1-08-UA","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical"
"J12","Conn_01x06_Socket","1","","B6B-XH-A","JST","B6B-XH-A","Connector_JST:JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical"
"R1,R2,R3,R4,R11,R12,R20,R24,R26,R27,R28,R29,R36,R37,R43,R48,RV1,RV2","100k","18","","ERJ-P06J104V","Panasonic Electronic Components","ERJ-P06J104V","Connector_JST:JST_XH_B3B-XH-AM_1x03_P2.50mm_Vertical,Resistor_SMD:R_0805_2012Metric"
"R5,R6,R30,R31","3.9k","4","","ERJ-P06J392V","Panasonic Electronic Components","ERJ-P06J392V","Resistor_SMD:R_0805_2012Metric"
"R7,R32","560","2","","ERJ-P06J561V","Panasonic Electronic Components","ERJ-P06J561V","Resistor_SMD:R_0805_2012Metric"
"R8,R10,R33,R35","15k","4","","ERJ-P06J153V","Panasonic Electronic Components","ERJ-P06J153V","Resistor_SMD:R_0805_2012Metric"
"R9,R34","1.2k","2","","ERJ-P06J122V","Panasonic Electronic Components","ERJ-P06J122V","Resistor_SMD:R_0805_2012Metric"
"R13,R38","5.6k","2","","ERJ-P06J562V","Panasonic Electronic Components","ERJ-P06J562V","Resistor_SMD:R_0805_2012Metric"
"R14,R18,R39,R44","82k","4","","ERJ-P06J823V","Panasonic Electronic Components","ERJ-P06J823V","Resistor_SMD:R_0805_2012Metric"
"R15,R19,R40,R45","33k","4","","ERJ-P06J333V","Panasonic Electronic Components","ERJ-P06J333V","Resistor_SMD:R_0805_2012Metric"
"R16,R25,R42,R50","100","4","","ERJ-P06J101V","Panasonic Electronic Components","ERJ-P06J101V","Resistor_SMD:R_0805_2012Metric"
"R17,R21,R23,R41,R46,R47","10k","6","","ERJ-P06J103V","Panasonic Electronic Components","ERJ-P06J103V","Resistor_SMD:R_0805_2012Metric"
"R22,R49","1k","2","","ERJ-P06J102V","Panasonic Electronic Components","ERJ-P06J102V","Resistor_SMD:R_0805_2012Metric"
"U1,U4","MCP6L02x-xMS","2","","MCP6022T-I/SN","Microchip Technology","MCP6022T-I/SN","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm"
"U2,U5","MCP6L04x-xSL","2","","MCP6024-I/SL","Microchip Technology","MCP6024-I/SL","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm"
"U3,U6","MCP6L91RT-ESN","2","","MCP6021-I/SN","Microchip Technology","MCP6021-I/SN","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm"
